expense_category,payee_name,payee_clean,total
Media,SoMDNEWS NET,SoMDNEWS NET,SoMDNEWS NET
Media,Sogonex,Sogonex,Sogonex
Media,Sogonex,Sogonex,Sogonex
Media,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC
Media,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC
Media,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC
Media,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC
Media,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC,Sogonex Social Good Nexus LLC
Media,Sogonox,Sogonox,Sogonox
Media,Sole Strategies,Sole Strategies,Sole Strategies
Media,Sole Strategies,Sole Strategies,Sole Strategies
Media,Solidarity Stratgeies,Solidarity Stratgeies,Solidarity Stratgeies
Media,Solnet Network & Web,Solnet Network & Web,Solnet Network & Web
Media,Solnet Network & Web,Solnet Network & Web,Solnet Network & Web
Media,Solnet Network & Web,Solnet Network & Web,Solnet Network & Web
Media,Solomons Island VFD,Solomons Island VFD,Solomons Island VFD
Media,Somar Communications,SOMAR COMMUNICATIONS,Somar Communications
Media,Somar Communications,SOMAR COMMUNICATIONS,Somar Communications
Media,Somar Communications  Inc.,SOMAR Communications  Inc,Somar Communications  Inc.
Media,Somar Communications Inc,SOMAR Communications  Inc,Somar Communications Inc
Media,Somar Radio,Somar Radio,Somar Radio
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak,Sonipak,Sonipak
Media,Sonipak Design,Sonipak Design,Sonipak Design
Media,Sonipak Design,Sonipak Design,Sonipak Design
Media,Sonipak Design,Sonipak Design,Sonipak Design
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
Media,Sonipak Design & Marketing,Sonipak Design & Marketing,Sonipak Design & Marketing
